role,place,state,geoid,latitude,longitude,population_2025,coordinate_vintage,population_vintage,coordinate_source_url,population_source_url
origin,Chicago,Illinois,1714000,41.837045,-87.684939,,2020,,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2020_Gazetteer/2020_Gaz_place_national.zip,
origin,Dallas,Texas,4819000,32.793333,-96.766513,,2020,,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2020_Gazetteer/2020_Gaz_place_national.zip,
origin,Atlanta,Georgia,1304000,33.762909,-84.422675,,2020,,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2020_Gazetteer/2020_Gaz_place_national.zip,
origin,Kansas City,Missouri,2938000,39.122361,-94.555117,,2020,,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2020_Gazetteer/2020_Gaz_place_national.zip,
destination,New York,New York,3651000,40.662712,-73.938677,8584629,2020,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2020_Gazetteer/2020_Gaz_place_national.zip,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/cities/totals/SUB-IP-EST2025-ANNRNK.xlsx
destination,Los Angeles,California,0644000,34.019394,-118.410825,3869089,2020,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2020_Gazetteer/2020_Gaz_place_national.zip,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/cities/totals/SUB-IP-EST2025-ANNRNK.xlsx
destination,Houston,Texas,4835000,29.785743,-95.388806,2397315,2020,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2020_Gazetteer/2020_Gaz_place_national.zip,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/cities/totals/SUB-IP-EST2025-ANNRNK.xlsx
destination,Phoenix,Arizona,0455000,33.572154,-112.090132,1665481,2020,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2020_Gazetteer/2020_Gaz_place_national.zip,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/cities/totals/SUB-IP-EST2025-ANNRNK.xlsx
destination,Philadelphia,Pennsylvania,4260000,40.009376,-75.133346,1574281,2020,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2020_Gazetteer/2020_Gaz_place_national.zip,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/cities/totals/SUB-IP-EST2025-ANNRNK.xlsx
destination,San Antonio,Texas,4865000,29.463408,-98.524287,1548422,2020,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2020_Gazetteer/2020_Gaz_place_national.zip,https://www2.census.gov/programs-surveys/popest/tables/2020-2025/cities/totals/SUB-IP-EST2025-ANNRNK.xlsx
